"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"2285","MCITP Self-Paced Training Kit (Exam 70-623): Supporting and Troubleshooting Applications on a Windows Vista® Client for Consumer Support Technicians","Anil Desai","$1.39 - $59.99"," ","","978-0735624238","0735624232","651 pages","","Microsoft Press (September 19, 2007)","","","","","English","7.4 x 1.7 x 8.9 inches","3 pounds (View shipping rates and policies)"
"2286","Windows Administration Resource Kit: Productivity Solutions for IT Professionals","Dan Holmes","$0.00","1st Edition","","978-0735624313","0735624313","752 pages","","Microsoft Press; 1 edition (March 10, 2008)","","","","","English","7.4 x 1.8 x 9 inches","3.3 pounds"
"2287","MCITP Self-Paced Training Kit (Exams 70-640, 70-642, 70-646): Windows Server® 2008 Server Administrator Core Requirements: Exams 70-640/642/646 (Microsoft Press Training Kit)","Dan Holme; Nelson Ruest; Dan Holme; Danielle Ruest; Nelson Ruest; Tony Northrup; J.C. Mackin; Ian McLean; Orin Thomas","$14.95","1st Edition","","978-0735625082","0735625085","2480 pages","Microsoft Press Training Kit","Microsoft Press; 1 edition (June 4, 2008)","","","","","English","7.5 x 4.8 x 9.2 inches","8.4 pounds"
"2288","Windows Server® 2008 Hyper-V Resource Kit","Robert Larson; Janique Carbone; Microsoft Windows Virtualization Team; Janique Carbone","$27.99","1st Edition","","978-0735625174","0735625174","750 pages","Resource Kit","Microsoft Press; 1 edition (June 17, 2009)","","","","","English","7.4 x 1.2 x 9 inches","3.4 pounds (View shipping rates and policies)"
"2289","Windows® Internals: Including Windows Server 2008 and Windows Vista, Fifth Edition (Developer Reference)","Mark Russinovich; David A. Solomon; Alex Ionescu","$31.99","5th Edition","","978-0735625303","0735625301","","Developer Reference","Microsoft Press; 5 edition (June 17, 2009)","","","","","English","7.8 x 2.2 x 9.2 inches","4.7 pounds"
"2290","Seamless Teamwork: Using Microsoft SharePoint Technologies to Collaborate, Innovate, and Drive Business in New Ways (Business Skills)","Michael Sampson","$20.56","","","","","","","","","","","","","",""
"2291","Windows PowerShell 2.0 Administrators Pocket Consultant: Administrator's Pocket Consultant","William R. Stanek","$0.00","1st Edition","","978-0735625952","0735625956","482 pages","Pocket Consultant","Microsoft Press; 1 edition (June 3, 2009)","","","","","English","5.5 x 1.2 x 8.5 inches","1.2 pounds"
"2292","Microsoft .NET - Architecting Applications for the Enterprise (Developer Reference)","Andrea Saltarello; Dino Esposito","$19.79","1st Edition","","978-0735626096","073562609X","464 pages","Developer Reference","Microsoft Press; 1 edition (October 25, 2008)","","","","","English","7.4 x 1.1 x 9 inches","2 pounds (View shipping rates and policies)"
"2293","In the Trenches with Microsoft® Office Project 2007 (Business Skills)","Elaine J. Marmel","$4.34 - $29.99","1st Edition","","978-0735626164","0735626162","352 pages","Business Skills","Microsoft Press; 1 edition (January 28, 2009)","","","","","English","7.3 x 1.1 x 9 inches","1.5 pounds (View shipping rates and policies)"
"2294","Building Web Applications with Microsoft® Office SharePoint® Designer 2007 Step by Step (Step by Step Developer)","John Jansen","$0.01 - $29.99","1st Edition","","978-0735626324","0735626324","336 pages","Step by Step Developer","Microsoft Press; 1 edition (February 18, 2009)","","","","","English","7.4 x 1 x 9 inches","1.4 pounds (View shipping rates and policies)"
"2295","MCTS Self-Paced Training Kit (Exam 70-505): Microsoft® .NET Framework 3.5 - Windows® Forms Application Development: Microsoft .Net Framework 3.5 ... Development (Microsoft Press Training Kit)","Matthew A. Stoecker; Steven J. Stein","$5.77 - $69.99","1st Edition","","978-0735626379","0735626375","816 pages","Microsoft Press Training Kit","Microsoft Press; 1 edition (March 4, 2009)","","","","","English","7.4 x 1.6 x 9 inches","3.8 pounds (View shipping rates and policies)"
"2296","Windows PowerShell 2.0 Best Practices (IT Best Practices - Microsoft Press)","Ed Wilson","$27.99","1st Edition","","978-0735626461","0735626464","752 pages","IT Best Practices - Microsoft Press","Microsoft Press; 1 edition (December 14, 2010)","","","","","English","7.3 x 1.1 x 9 inches","2.7 pounds (View shipping rates and policies)"
"2297","Windows 7 Inside Out","Ed Bott; Carl Siechert; Craig Stinson","$23.49","1st Edition","","978-0735626652","0735626650","1056 pages","Inside Out","Microsoft Press; 1 edition (October 3, 2009)","","","","","English","7.1 x 2 x 9 inches","3.8 pounds (View shipping rates and policies)"
"2298","Windows 7 Plain & Simple","Gerald Joyce; Marianne Moon","$9.99","1st Edition","","978-0735626669","0735626669","400 pages","Plain & Simple","Microsoft Press; 1 edition (September 26, 2009)","","","","","English","7.3 x 0.7 x 9.1 inches","1.5 pounds (View shipping rates and policies)"
"2299","Windows 7 Step by Step","Joan Lambert; Joyce Cox","$9.99","1st Edition","","978-0735626676","0735626677","544 pages","Step by Step","Microsoft Press; 1 edition (September 26, 2009)","","","","","English","7.3 x 1.3 x 9 inches","2.4 pounds (View shipping rates and policies)"
"2300","Microsoft Access 2010 Inside Out","Jeff Conrad; John Viescas","$25.49","1st Edition","","978-0735626850","0735626855","1488 pages","","Microsoft Press; 1 edition (September 1, 2010)","","","","","English","7.3 x 2.3 x 9 inches","4.9 pounds (View shipping rates and policies)"
"2301","Microsoft Visual Basic 2010 Developer's Handbook (Developer Reference)","Klaus Löffelmann; Sarika Purohit","$47.99","1st Edition","","978-0735627055","0735627053","976 pages","Developer Reference","Microsoft Press; 1 edition (August 25, 2011)","","","","","English","7.4 x 1.7 x 8.9 inches","3.4 pounds (View shipping rates and policies)"
"2302","Self-Paced Training Kit (Exam 70-680) Configuring Windows 7 (MCTS) (Microsoft Press Training Kit)","Ian McLean; Orin Thomas","$35.00 - $44.03","1st Edition","","978-0735627086","0735627088","912 pages","Microsoft Press Training Kit","Microsoft Press; 1 edition (October 31, 2009)","","","","","English","7.3 x 2.1 x 8.9 inches","3.4 pounds (View shipping rates and policies)"
"2303","Microsoft® Application Architecture Guide (Patterns & Practices)","Microsoft Patterns & Practices Team","$13.19","Second Edition Edition","","978-0735627109","073562710X","560 pages","Patterns & Practices","Microsoft Press; Second Edition edition (November 22, 2009)","","","","","English","7.4 x 1.3 x 9 inches","2.4 pounds"
"2304","Microsoft Exchange Server 2010 Administrator's Pocket Consultant","William Stanek","$15.39","1st Edition","","","","","","","","","","","","",""
"2305","Microsoft® Silverlight® 4 Step by Step (Step by Step Developer)","Laurence Moroney","$0.01","","","978-0735638877","073563887X","336 pages","Step by Step Developer","Microsoft Press; 1 edition (July 7, 2010)","","","","","English","7.4 x 0.9 x 9.1 inches","1.3 pounds"
"2306","Microsoft ADO.NET 4 Step by Step (Step by Step Developer)","Tim Patrick","$19.79","1st Edition","","978-0735638884","0735638888","400 pages","Step by Step Developer","Microsoft Press; 1 edition (November 4, 2010)","","","","","English","7.4 x 1.1 x 8.9 inches","1.6 pounds (View shipping rates and policies)"
"2307","Microsoft Expression Blend 4 Step by Step (Step by Step Developer)","Chris Leeds; Elena Kosinka; Chris Leeds","$19.79","1st Edition","","978-0735639010","0735639019","400 pages","Step by Step Developer","Microsoft Press; 1 edition (March 25, 2011)","","","","","English","7.3 x 1 x 8.9 inches","1.5 pounds (View shipping rates and policies)"
"2308","Microsoft Expression Blend 4 Step by Step (Step by Step Developer)","Chris Leeds; Elena Kosinka; Chris Leeds","$19.79","1st Edition","","978-0735639010","0735639019","400 pages","Step by Step Developer","Microsoft Press; 1 edition (March 25, 2011)","","","","","English","7.3 x 1 x 8.9 inches","1.5 pounds (View shipping rates and policies)"
"2309","Programming Microsoft LINQ in .NET Framework 4 (Developer Reference)","Marco Russo; Paolo Pialorsi","$31.72","1st Edition","","978-0735640573","0735640572","650 pages","Developer Reference","Microsoft Press; 1 edition (December 3, 2010)","","","","","English","7.4 x 1.8 x 8.9 inches","2.4 pounds (View shipping rates and policies)"
"2310","Parallel Programming with Microsoft Visual Studio 2010 Step by Step (Step by Step Developer)","Donis Marshall","$9.76 - $34.99","1st Edition","","978-0735640603","0735640602","256 pages","Step by Step Developer","Microsoft Press; 1 edition (August 4, 2011)","","","","","English","7.5 x 0.7 x 9 inches","15.2 ounces (View shipping rates and policies)"
"2311","Integrating PHP with Windows (Developer Reference)","Arno Hollosi","$0.78","1st Edition","","978-0735647916","0735647917","664 pages","Developer Reference","Microsoft Press; 1 edition (October 25, 2011)","","","","","English","7.4 x 1.7 x 9 inches","2.4 pounds"
"2312","Working with Microsoft Dynamics CRM 2011 (Developer Reference)","Mike Snyder; Jim Steger; Kristie Reid; Jim Steger","$23.49","1st Edition","","978-0735648128","0735648123","624 pages","Developer Reference","Microsoft Press; 1 edition (May 3, 2011)","","","","","English","7.3 x 1.5 x 8.9 inches","2.2 pounds (View shipping rates and policies)"
"2313","Managing and Implementing Microsoft® SharePoint® 2010 Projects","Geoff Evelyn","$0.24","1st Edition","","978-0735648708","0735648700","290 pages","","Microsoft Press; 1 edition (November 15, 2010)","","","","","English","7.4 x 0.7 x 9 inches","1.1 pounds"
"2314","Windows Internals, Part 1 (6th Edition) (Developer Reference)","Mark E. Russinovich; David A. Solomon; Alex Ionescu","$17.27","6th Edition","","978-0735648739","0735648735","752 pages","Developer Reference","Microsoft Press; 6 edition (March 25, 2012)","","","","","English","7.3 x 1.8 x 8.9 inches","2.4 pounds (View shipping rates and policies)"
"2315","MOS 2010 Study Guide for Microsoft Word, Excel, PowerPoint, and Outlook Exams (MOS Study Guide)","Joan Lambert; Joyce Cox","$19.79","1st Edition","","","","","","","","","","","","",""
"2316","Microsoft Visio 2010 Step by Step","Scott A. Helmers","$15.39","1st Edition","","978-0735648876","0735648875","480 pages","Step by Step","Microsoft Press; 1 edition (April 25, 2011)","","","","","English","7.3 x 1.1 x 8.7 inches","1.6 pounds (View shipping rates and policies)"
"2317","Windows Small Business Server 2011 Administrator's Companion (Admin Companion)","Charlie Russel; Sharon Crawford","$37.28","","","","","","","","","","","","","",""
"2318","Introducing Microsoft WebMatrix","Laurence Moroney","$6.14 - $26.10","1st Edition","","978-0735649705","0735649707","320 pages","","Microsoft Press; 1 edition (May 21, 2011)","","","","","English","7.3 x 0.8 x 9.1 inches","1.2 pounds (View shipping rates and policies)"
"2319","Deploying Microsoft Forefront Unified Access Gateway 2010","Thomas Shinder; Yuri Diogenes","$6.99","1st Edition","","978-0735649774","0735649774","172 pages","","Microsoft Press; 1 edition (November 28, 2010)","","","","","English","7.2 x 0.4 x 9.1 inches","10.4 ounces (View shipping rates and policies)"
"2320","Coding Faster: Getting More Productive with Microsoft Visual Studio (Developer Reference)","Sara Ford; Zain Naboulsi","$17.27","1st Edition","","978-0735649927","0735649928","544 pages","Developer Reference","Microsoft Press; 1 edition (September 3, 2011)","","","","","English","7.4 x 1.3 x 8.9 inches","1.7 pounds (View shipping rates and policies)"
"2321","Building Enterprise Applications with Windows Presentation Foundation and the Model View ViewModel Pattern (Developer Reference)","Raffaele Garofalo","$14.99","1st Edition","","978-0735650923","0735650926","224 pages","Developer Reference","Microsoft Press; 1 edition (March 25, 2011)","","","","","English","7.3 x 0.5 x 8.9 inches","13.6 ounces"
"2322","Documents, Presentations, and Workbooks: Using Microsoft Office to Create Content That Gets Noticed- Creating Powerful Content with Microsoft Office","Stephanie Krieger","$18.17 - $35.52","1st Edition","","978-0735651999","073565199X","864 pages","","Microsoft Press; 1 edition (April 25, 2011)","","","","","English","7 x 2 x 9 inches","3 pounds (View shipping rates and policies)"
"2323","Network Your Computer & Devices Step by Step","Ciprian Rusen","$13.99","1st Edition","","978-0735652163","0735652163","550 pages","Step by Step","Microsoft Press; 1 edition (January 2, 2011)","","","","","English","7.4 x 1.5 x 8.9 inches","3.4 pounds (View shipping rates and policies)"
"2324","Developing Applications for the Cloud on the Microsoft® Windows Azure Platform (Patterns & Practices)","Eugenio Pace; Dominic Betts; Scott Densmore; Ryan Dunn; Scott Densmore; Masashi Narumoto; Ryan Dunn; Matias Woloski","$29.99","","","","","","","","","","","","","",""
"2325","Working With Windows Small Business Server 2011 Essentials","Charlie Russel; Sharon Crawford","$5.74 - $44.99","1st Edition","","978-0735656703","0735656703","400 pages","","Microsoft Press; 1 edition (September 3, 2011)","","","","","English","7.4 x 0.9 x 8.9 inches","1.5 pounds (View shipping rates and policies)"
"2326","Windows Sysinternals Administrator's Reference","Aaron Margosis; Mark E. Russinovich","$22.99","1st Edition","","978-0735656727","073565672X","496 pages","","Microsoft Press; 1 edition (June 25, 2011)","","","","","English","7.4 x 1.4 x 9 inches","1.6 pounds (View shipping rates and policies)"
"2327","Exam Ref 70-519 Designing and Developing Web Applications Using Microsoft .NET Framework 4 (MCPD)","Tony Northrup","$17.27","1st Edition","","","","","","","","","","","","",""
"2328","PMP Training Kit (Microsoft Press Training Kit)","Sean Whitaker","$11.42 - $45.27","1st Edition","","978-0735657809","0735657807","544 pages","Microsoft Press Training Kit","Microsoft Press; 1 edition (July 25, 2013)","","","","","English","7.3 x 1.2 x 8.9 inches","2.1 pounds (View shipping rates and policies)"
"2329","Exam Ref 70-663 Designing and Deploying Messaging Solutions with Microsoft Exchange Server 2010 (MCITP)","Orin Thomas","$39.99","1st Edition","","","","","","","","","","","","",""
"2330","MCTS 70-662 Rapid Review: Configuring Microsoft Exchange Server 2010","Ian McLean","$23.99","1st Edition","","978-0735658103","0735658102","296 pages","Rapid Review","Microsoft Press; 1 edition (March 25, 2012)","","","","","English","5.5 x 0.7 x 8.5 inches","12 ounces (View shipping rates and policies)"
"2331","I.M. Wright's Hard Code: A Decade of Hard-Won Lessons from Microsoft (2nd Edition) (Developer Best Practices)","Eric Brechner","$19.79","2nd Edition","","978-0735661707","0735661707","448 pages","Developer Best Practices","Microsoft Press; 2 edition (July 25, 2011)","","","","","English","7.3 x 1 x 8.9 inches","1.6 pounds (View shipping rates and policies)"
"2332","Using Microsoft InfoPath 2010 with Microsoft SharePoint 2010 Step by Step","Darvish Shadravan; Laura Rogers","$15.39","1st Edition","","978-0735662063","0735662061","480 pages","Step by Step","Microsoft Press; 1 edition (October 25, 2011)","","","","","English","7.4 x 1 x 9 inches","1.5 pounds (View shipping rates and policies)"
